Variable,Variable_Label,Values,Value_Labels
QKEY,Unique ID,100363,Min. Val.
QKEY,,2.02301e+11,Max. Val
INTERVIEW_START_W144,Interview start time,2024-03-18 16:42:42,Min. Val.
INTERVIEW_START_W144,,2024-03-24 23:42:40,Max. Val
INTERVIEW_END_W144,Interview end time,2024-03-18 16:47:09,Min. Val.
INTERVIEW_END_W144,,2024-03-24 23:47:48,Max. Val
DEVICE_TYPE_W144,The device used in the latest access of the survey link,1,Laptop/PC
DEVICE_TYPE_W144,,2,Smartphone
DEVICE_TYPE_W144,,3,Tablet
DEVICE_TYPE_W144,,4,SmartTV
DEVICE_TYPE_W144,,5,None of the above
LANG_W144, Language of interview,1,English
LANG_W144,,2,Spanish
XRAND_FB_IG_W144,Flag to randomly assign panelists to answer module about either Facebook or Instagram if they use all four social media platforms.,1,Facebook
XRAND_FB_IG_W144,,2,Instagram
SMUSE_a_W144,Facebook // Please indicate whether or not you ever use the following websites or apps.,1,"Yes, use this"
SMUSE_a_W144,,2,"No, don’t use this"
SMUSE_a_W144,,99,Refused
SMUSE_c_W144,X (formerly Twitter) // Please indicate whether or not you ever use the following websites or apps.,1,"Yes, use this"
SMUSE_c_W144,,2,"No, don’t use this"
SMUSE_c_W144,,99,Refused
SMUSE_d_W144,Instagram // Please indicate whether or not you ever use the following websites or apps.,1,"Yes, use this"
SMUSE_d_W144,,2,"No, don’t use this"
SMUSE_d_W144,,99,Refused
SMUSE_i_W144,TikTok // Please indicate whether or not you ever use the following websites or apps.,1,"Yes, use this"
SMUSE_i_W144,,2,"No, don’t use this"
SMUSE_i_W144,,99,Refused
SMUSE2_a_W144,Facebook // About how often do you visit or use…,1,Almost constantly
SMUSE2_a_W144,,2,Several times a day
SMUSE2_a_W144,,3,About once a day
SMUSE2_a_W144,,4,A few times a week
SMUSE2_a_W144,,5,About once a week
SMUSE2_a_W144,,6,Every few weeks or less often
SMUSE2_a_W144,,99,Refused
SMUSE2_c_W144,X (formerly Twitter) // About how often do you visit or use…,1,Almost constantly
SMUSE2_c_W144,,2,Several times a day
